Obs,"Diagnosis
Code",Code Description,"Code Valid
in FY2019
(10/1/18 - 9/30/19)","FY2019 MCE
Age Condition
[use AGE_AT
_DIAGNOSIS]","FY2019
MCE Sex
Condition","CY2019 (FY19/FY20)
MCE Age
Condition
[use AGE_AT
_DIAGNOSIS]","CY2019
(FY19/FY20)
MCE Sex
Condition","CC Age Split
[use AGE_LAST]",CC Sex Split,CC,Additional CC,Footnote
1,A0101,Typhoid meningitis,Y,,,,,,,3,,
2,A0102,Typhoid fever with heart involvement,Y,,,,,,,135,,
3,A0104,Typhoid arthritis,Y,,,,,,,55,,
4,A0105,Typhoid osteomyelitis,Y,,,,,,,55,,
5,A021,Salmonella sepsis,Y,,,,,,,2,,
6,A0221,Salmonella meningitis,Y,,,,,,,3,,
7,A0223,Salmonella arthritis,Y,,,,,,,55,,
8,A0224,Salmonella osteomyelitis,Y,,,,,,,55,,
9,A064,Amebic liver abscess,Y,,,,,,,38,,
10,A065,Amebic lung abscess,Y,,,,,,,163,,
11,A066,Amebic brain abscess,Y,,,,,,,3,,
12,A072,Cryptosporidiosis,Y,,,,,,,6,,
13,A170,Tuberculous meningitis,Y,,,,,,,3,,
14,A171,Meningeal tuberculoma,Y,,,,,,,3,,
15,A1781,Tuberculoma of brain and spinal cord,Y,,,,,,,3,,
16,A1782,Tuberculous meningoencephalitis,Y,,,,,,,3,,
17,A1783,Tuberculous neuritis,Y,,,,,,,3,,
18,A1789,Other tuberculosis of nervous system,Y,,,,,,,3,,
19,A179,"Tuberculosis of nervous system, unspecified",Y,,,,,,,3,,
20,A203,Plague meningitis,Y,,,,,,,3,,
21,A207,Septicemic plague,Y,,,,,,,2,,
22,A227,Anthrax sepsis,Y,,,,,,,2,,
23,A267,Erysipelothrix sepsis,Y,,,,,,,2,,
24,A2781,Aseptic meningitis in leptospirosis,Y,,,,,,,3,,
25,A310,Pulmonary mycobacterial infection,Y,,,,,,,6,,
26,A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),Y,,,,,,,6,,
27,A3211,Listerial meningitis,Y,,,,,,,3,,
28,A3212,Listerial meningoencephalitis,Y,,,,,,,3,,
29,A327,Listerial sepsis,Y,,,,,,,2,,
30,A3282,Listerial endocarditis,Y,,,,,,,135,,
31,A34,Obstetrical tetanus,Y,12 <= age <= 55,female,9 <= age <= 64,female,,,3,,
32,A35,Other tetanus,Y,,,,,,,3,,
33,A3681,Diphtheritic cardiomyopathy,Y,,,,,,,130,,
34,A381,Scarlet fever with myocarditis,Y,,,,,,,135,,
35,A390,Meningococcal meningitis,Y,,,,,,,3,,
36,A391,Waterhouse-Friderichsen syndrome,Y,,,,,,,30,,
37,A392,Acute meningococcemia,Y,,,,,,,2,,
38,A393,Chronic meningococcemia,Y,,,,,,,2,,
39,A394,"Meningococcemia, unspecified",Y,,,,,,,2,,
40,A3950,"Meningococcal carditis, unspecified",Y,,,,,,,135,,
41,A3951,Meningococcal endocarditis,Y,,,,,,,135,,
42,A3952,Meningococcal myocarditis,Y,,,,,,,135,,
43,A3953,Meningococcal pericarditis,Y,,,,,,,135,,
44,A3981,Meningococcal encephalitis,Y,,,,,,,3,,
45,A3983,Meningococcal arthritis,Y,,,,,,,55,,
46,A3984,Postmeningococcal arthritis,Y,,,,,,,55,,
47,A400,"Sepsis due to streptococcus, group A",Y,,,,,,,2,,
48,A401,"Sepsis due to streptococcus, group B",Y,,,,,,,2,,
49,A403,Sepsis due to Streptococcus pneumoniae,Y,,,,,,,2,,
50,A408,Other streptococcal sepsis,Y,,,,,,,2,,
51,A409,"Streptococcal sepsis, unspecified",Y,,,,,,,2,,
52,A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,Y,,,,,,,2,,
53,A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,Y,,,,,,,2,,
54,A411,Sepsis due to other specified staphylococcus,Y,,,,,,,2,,
55,A412,Sepsis due to unspecified staphylococcus,Y,,,,,,,2,,
56,A413,Sepsis due to Hemophilus influenzae,Y,,,,,,,2,,
57,A414,Sepsis due to anaerobes,Y,,,,,,,2,,
58,A4150,"Gram-negative sepsis, unspecified",Y,,,,,,,2,,
59,A4151,Sepsis due to Escherichia coli [E. coli],Y,,,,,,,2,,
