Obs,"Diagnosis
Code",Code Description,"Code Valid
in FY2017 
(10/1/16 - 9/30/17)",,,,,"CC Age Split 
[use AGE_LAST]",CC Sex Split,CC,Additional CC,Footnote,FY,Type
1,A0101,Typhoid meningitis,Y,,,,,,,3,,,2017,Commercial
2,A0102,Typhoid fever with heart involvement,Y,,,,,,,135,,,2017,Commercial
3,A0104,Typhoid arthritis,Y,,,,,,,55,,,2017,Commercial
4,A0105,Typhoid osteomyelitis,Y,,,,,,,55,,,2017,Commercial
5,A021,Salmonella sepsis,Y,,,,,,,2,,,2017,Commercial
6,A0221,Salmonella meningitis,Y,,,,,,,3,,,2017,Commercial
7,A0223,Salmonella arthritis,Y,,,,,,,55,,,2017,Commercial
8,A0224,Salmonella osteomyelitis,Y,,,,,,,55,,,2017,Commercial
9,A064,Amebic liver abscess,Y,,,,,,,38,,,2017,Commercial
10,A065,Amebic lung abscess,Y,,,,,,,163,,,2017,Commercial
11,A066,Amebic brain abscess,Y,,,,,,,3,,,2017,Commercial
12,A072,Cryptosporidiosis,Y,,,,,,,6,,,2017,Commercial
13,A170,Tuberculous meningitis,Y,,,,,,,3,,,2017,Commercial
14,A171,Meningeal tuberculoma,Y,,,,,,,3,,,2017,Commercial
15,A1781,Tuberculoma of brain and spinal cord,Y,,,,,,,3,,,2017,Commercial
16,A1782,Tuberculous meningoencephalitis,Y,,,,,,,3,,,2017,Commercial
17,A1783,Tuberculous neuritis,Y,,,,,,,3,,,2017,Commercial
18,A1789,Other tuberculosis of nervous system,Y,,,,,,,3,,,2017,Commercial
19,A179,"Tuberculosis of nervous system, unspecified",Y,,,,,,,3,,,2017,Commercial
20,A203,Plague meningitis,Y,,,,,,,3,,,2017,Commercial
21,A207,Septicemic plague,Y,,,,,,,2,,,2017,Commercial
22,A227,Anthrax sepsis,Y,,,,,,,2,,,2017,Commercial
23,A267,Erysipelothrix sepsis,Y,,,,,,,2,,,2017,Commercial
24,A2781,Aseptic meningitis in leptospirosis,Y,,,,,,,3,,,2017,Commercial
25,A310,Pulmonary mycobacterial infection,Y,,,,,,,6,,,2017,Commercial
26,A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),Y,,,,,,,6,,,2017,Commercial
27,A3211,Listerial meningitis,Y,,,,,,,3,,,2017,Commercial
28,A3212,Listerial meningoencephalitis,Y,,,,,,,3,,,2017,Commercial
29,A327,Listerial sepsis,Y,,,,,,,2,,,2017,Commercial
30,A3282,Listerial endocarditis,Y,,,,,,,135,,,2017,Commercial
31,A34,Obstetrical tetanus,Y,,,,,,,3,,,2017,Commercial
32,A35,Other tetanus,Y,,,,,,,3,,,2017,Commercial
33,A3681,Diphtheritic cardiomyopathy,Y,,,,,,,130,,,2017,Commercial
34,A381,Scarlet fever with myocarditis,Y,,,,,,,135,,,2017,Commercial
35,A390,Meningococcal meningitis,Y,,,,,,,3,,,2017,Commercial
36,A391,Waterhouse-Friderichsen syndrome,Y,,,,,,,30,,,2017,Commercial
37,A392,Acute meningococcemia,Y,,,,,,,2,,,2017,Commercial
38,A393,Chronic meningococcemia,Y,,,,,,,2,,,2017,Commercial
39,A394,"Meningococcemia, unspecified",Y,,,,,,,2,,,2017,Commercial
40,A3950,"Meningococcal carditis, unspecified",Y,,,,,,,135,,,2017,Commercial
41,A3951,Meningococcal endocarditis,Y,,,,,,,135,,,2017,Commercial
42,A3952,Meningococcal myocarditis,Y,,,,,,,135,,,2017,Commercial
43,A3953,Meningococcal pericarditis,Y,,,,,,,135,,,2017,Commercial
44,A3981,Meningococcal encephalitis,Y,,,,,,,3,,,2017,Commercial
45,A3983,Meningococcal arthritis,Y,,,,,,,55,,,2017,Commercial
46,A3984,Postmeningococcal arthritis,Y,,,,,,,55,,,2017,Commercial
47,A400,"Sepsis due to streptococcus, group A",Y,,,,,,,2,,,2017,Commercial
48,A401,"Sepsis due to streptococcus, group B",Y,,,,,,,2,,,2017,Commercial
49,A403,Sepsis due to Streptococcus pneumoniae,Y,,,,,,,2,,,2017,Commercial
50,A408,Other streptococcal sepsis,Y,,,,,,,2,,,2017,Commercial
51,A409,"Streptococcal sepsis, unspecified",Y,,,,,,,2,,,2017,Commercial
52,A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,Y,,,,,,,2,,,2017,Commercial
53,A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,Y,,,,,,,2,,,2017,Commercial
54,A411,Sepsis due to other specified staphylococcus,Y,,,,,,,2,,,2017,Commercial
55,A412,Sepsis due to unspecified staphylococcus,Y,,,,,,,2,,,2017,Commercial
56,A413,Sepsis due to Hemophilus influenzae,Y,,,,,,,2,,,2017,Commercial
57,A414,Sepsis due to anaerobes,Y,,,,,,,2,,,2017,Commercial
58,A4150,"Gram-negative sepsis, unspecified",Y,,,,,,,2,,,2017,Commercial
59,A4151,Sepsis due to Escherichia coli [E. coli],Y,,,,,,,2,,,2017,Commercial
60,A4152,Sepsis due to Pseudomonas,Y,,,,,,,2,,,2017,Commercial
61,A4153,Sepsis due to Serratia,Y,,,,,,,2,,,2017,Commercial
62,A4159,Other Gram-negative sepsis,Y,,,,,,,2,,,2017,Commercial
63,A4181,Sepsis due to Enterococcus,Y,,,,,,,2,,,2017,Commercial
64,A4189,Other specified sepsis,Y,,,,,,,2,,,2017,Commercial
65,A419,"Sepsis, unspecified organism",Y,,,,,,,2,,,2017,Commercial
66,A427,Actinomycotic sepsis,Y,,,,,,,2,,,2017,Commercial
67,A4281,Actinomycotic meningitis,Y,,,,,,,3,,,2017,Commercial
68,A4282,Actinomycotic encephalitis,Y,,,,,,,3,,,2017,Commercial
69,A480,Gas gangrene,Y,,,,,,,153,,,2017,Commercial
70,A481,Legionnaires' disease,Y,,,,,,,163,,,2017,Commercial
71,A483,Toxic shock syndrome,Y,,,,,,,2,,,2017,Commercial
72,A5004,Early congenital syphilitic pneumonia,Y,,,,,,,163,,,2017,Commercial
73,A5040,"Late congenital neurosyphilis, unspecified",Y,,,,,,,3,,,2017,Commercial
74,A5041,Late congenital syphilitic meningitis,Y,,,,,,,3,,,2017,Commercial
75,A5042,Late congenital syphilitic encephalitis,Y,,,,,,,3,,,2017,Commercial
76,A5043,Late congenital syphilitic polyneuropathy,Y,,,,,,,3,,,2017,Commercial
77,A5044,Late congenital syphilitic optic nerve atrophy,Y,,,,,,,3,,,2017,Commercial
78,A5045,Juvenile general paresis,Y,,,,,,,3,,,2017,Commercial
79,A5049,Other late congenital neurosyphilis,Y,,,,,,,3,,,2017,Commercial
80,A5054,Late congenital cardiovascular syphilis,Y,,,,,,,135,,,2017,Commercial
81,A5055,Late congenital syphilitic arthropathy,Y,,,,,,,55,,,2017,Commercial
82,A5141,Secondary syphilitic meningitis,Y,,,,,,,3,,,2017,Commercial
83,A5200,"Cardiovascular syphilis, unspecified",Y,,,,,,,135,,,2017,Commercial
84,A5201,Syphilitic aneurysm of aorta,Y,,,,,,,135,,,2017,Commercial
85,A5202,Syphilitic aortitis,Y,,,,,,,135,,,2017,Commercial
86,A5203,Syphilitic endocarditis,Y,,,,,,,135,,,2017,Commercial
87,A5205,Other cerebrovascular syphilis,Y,,,,,,,149,,,2017,Commercial
88,A5206,Other syphilitic heart involvement,Y,,,,,,,135,,,2017,Commercial
89,A5209,Other cardiovascular syphilis,Y,,,,,,,135,,,2017,Commercial
90,A5210,"Symptomatic neurosyphilis, unspecified",Y,,,,,,,3,,,2017,Commercial
91,A5211,Tabes dorsalis,Y,,,,,,,3,,,2017,Commercial
92,A5212,Other cerebrospinal syphilis,Y,,,,,,,3,,,2017,Commercial
93,A5213,Late syphilitic meningitis,Y,,,,,,,3,,,2017,Commercial
94,A5214,Late syphilitic encephalitis,Y,,,,,,,3,,,2017,Commercial
95,A5215,Late syphilitic neuropathy,Y,,,,,,,3,,,2017,Commercial
96,A5216,Charcot's arthropathy (tabetic),Y,,,,,,,3,,,2017,Commercial
97,A5217,General paresis,Y,,,,,,,3,,,2017,Commercial
98,A5219,Other symptomatic neurosyphilis,Y,,,,,,,3,,,2017,Commercial
99,A522,Asymptomatic neurosyphilis,Y,,,,,,,3,,,2017,Commercial
100,A523,"Neurosyphilis, unspecified",Y,,,,,,,3,,,2017,Commercial
101,A5440,"Gonococcal infection of musculoskeletal system, unspecified",Y,,,,,,,55,,,2017,Commercial
102,A5441,Gonococcal spondylopathy,Y,,,,,,,55,,,2017,Commercial
103,A5442,Gonococcal arthritis,Y,,,,,,,55,,,2017,Commercial
104,A5443,Gonococcal osteomyelitis,Y,,,,,,,55,,,2017,Commercial
105,A5449,Gonococcal infection of other musculoskeletal tissue,Y,,,,,,,55,,,2017,Commercial
106,A5481,Gonococcal meningitis,Y,,,,,,,3,,,2017,Commercial
107,A5482,Gonococcal brain abscess,Y,,,,,,,3,,,2017,Commercial
108,A5483,Gonococcal heart infection,Y,,,,,,,135,,,2017,Commercial
109,A5485,Gonococcal peritonitis,Y,,,,,,,42,,,2017,Commercial
110,A5486,Gonococcal sepsis,Y,,,,,,,2,,,2017,Commercial
111,A666,Bone and joint lesions of yaws,Y,,,,,,,55,,,2017,Commercial
112,A6921,Meningitis due to Lyme disease,Y,,,,,,,3,,,2017,Commercial
113,A6923,Arthritis due to Lyme disease,Y,,,,,,,55,,,2017,Commercial
114,A800,"Acute paralytic poliomyelitis, vaccine-associated",Y,,,,,,,3,,,2017,Commercial
115,A801,"Acute paralytic poliomyelitis, wild virus, imported",Y,,,,,,,3,,,2017,Commercial
116,A802,"Acute paralytic poliomyelitis, wild virus, indigenous",Y,,,,,,,3,,,2017,Commercial
117,A8030,"Acute paralytic poliomyelitis, unspecified",Y,,,,,,,3,,,2017,Commercial
118,A8039,Other acute paralytic poliomyelitis,Y,,,,,,,3,,,2017,Commercial
119,A804,Acute nonparalytic poliomyelitis,Y,,,,,,,3,,,2017,Commercial
120,A809,"Acute poliomyelitis, unspecified",Y,,,,,,,3,,,2017,Commercial
121,A820,Sylvatic rabies,Y,,,,,,,3,,,2017,Commercial
122,A821,Urban rabies,Y,,,,,,,3,,,2017,Commercial
123,A829,"Rabies, unspecified",Y,,,,,,,3,,,2017,Commercial
124,A830,Japanese encephalitis,Y,,,,,,,3,,,2017,Commercial
125,A831,Western equine encephalitis,Y,,,,,,,3,,,2017,Commercial
126,A832,Eastern equine encephalitis,Y,,,,,,,3,,,2017,Commercial
127,A833,St Louis encephalitis,Y,,,,,,,3,,,2017,Commercial
128,A834,Australian encephalitis,Y,,,,,,,3,,,2017,Commercial
129,A835,California encephalitis,Y,,,,,,,3,,,2017,Commercial
130,A836,Rocio virus disease,Y,,,,,,,3,,,2017,Commercial
131,A838,Other mosquito-borne viral encephalitis,Y,,,,,,,3,,,2017,Commercial
132,A839,"Mosquito-borne viral encephalitis, unspecified",Y,,,,,,,3,,,2017,Commercial
